#,ID,Continent,Continent_detail,Country,Full year ,Date mean in BP,Lat.,Long.,As_Ru_3K_0.9K_BCE,As_Ru_5.8K_3.6K_BCE,As_Ru_37.4K_3K_BCE,As_Ru_E_0.1K_1.4K_CE,C_Af_6K_1K_BCE,C_NW_As_2.2K_1.6K_BCE,C_N_As_BCE,C_N_As_CE,E_Af_2.5KBCE_1.6KCE,E_As_6KBCE_0.25KCE,E_C_Eu_6K_2K_BCE,E_Eu_9K_3K_BCE,E_Eu_CE,E_Eu_Po_3K_2.3K_BCE,M_Am_0.6K_1.7K_CE,M_Am_Cuba_1.4KBCE_1.3KCE,NN_Am_1K_2.0K_CE,N_Am_11.5KBCE_1.2KCE,N_Eu_0.7K_1.7K_CE,Oceania_1KBCE_2KCE,SE_As_6KBCE_0.8KCE,SN_Am_3.5KBCE_1.5KCE,SW_As_8K_1.1K_BCE,SW_C_As_9K_0.8K_BCE,S_Am_CE,S_Eu_5.4K_1K_BCE,S_Eu_16K_5K_BCE,S_Eu_CE,S_M_Am_10K_1.5K_BCE,W_Eu_5.5K_2.5K_BCE,W_Eu_30K_5K_BCE,W_Eu_38K_BCE,W_Eu_CE,W_Eu_GB_4K_2.5K_BCE
9206,I8874,Africa,East Africa,Kenya,"1407-1271 calBCE (3070¡À20 BP, PSUAMS-4723)",3287,-0.442,36.267,0,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9207,I8892_published,Africa,East Africa,Kenya,"772-950 calCE (1170¡À15 BP, PSUAMS-4788)",1096,-0.603,36.374,0.0006,0,0.0157,0.0042,0.0797,0,0,0,0.8008,0,0,0.007,0,0,0,0,0,0,0,0.0108,0.0168,0,0.0021,0.0077,0.0076,0,0,0,0.0057,0,0.0084,0,0.0055,0.0036
9208,I8918,Africa,East Africa,Kenya,"382-206 calBCE (2235¡À20 BP, PSUAMS-4744)",2232,-0.663,36.41,0,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9209,I8919,Africa,East Africa,Kenya,"391-208 calBCE (2255¡À20 BP, PSUAMS-4789)",2250,-0.663,36.41,0,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9210,I8920_published,Africa,East Africa,Kenya,"405-375 calBCE (2310¡À15 BP, PSUAMS-4724)",2338,-0.663,36.41,0,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9211,I8922,Africa,East Africa,Kenya,800 BCE - 600 CE,2050,-0.464,35.971,0,0,0,0,0,0,0,0,0.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9212,I8997,Asia,South Asia,Pakistan,1000-800 BCE,2850,34.75146111,72.40193611,0.0185,0.0045,0.0037,0.0015,0.0003,0.0344,0.0619,0,0.0028,0.0086,0,0,0.0063,0.0001,0,0.0123,0,0,0,0,0.0818,0,0,0.7284,0,0.0186,0.0053,0.006,0,0,0,0.0006,0.0036,0
9213,I8998,Asia,South Asia,Pakistan,1000-800 BCE,2850,34.75146111,72.40193611,0.0181,0.0225,0.0002,0,0,0.0237,0.0676,0.0052,0.0026,0,0.0023,0,0.0333,0,0,0.0066,0.0046,0,0.0013,0.0011,0.0619,0,0.0069,0.7303,0,0,0.0106,0,0,0,0,0,0,0
9214,I8999,Asia,South Asia,Pakistan,"911-816 calBCE (2725¡À20 BP, PSUAMS-4851)",2813,34.75146111,72.40193611,0,0.0096,0.0029,0.0096,0.0011,0.0346,0.0969,0,0.0021,0.0069,0,0,0.0076,0,0,0.0048,0,0.0115,0.0043,0,0.0625,0,0.0017,0.6642,0.0113,0,0.0068,0.0308,0.0065,0.0127,0.0021,0.001,0.0084,0
9215,I2967_all,Africa,East Africa,Malawi,"6222-5925 calBCE (7230¡À60 BP, PSUAMS-2535)",8018,-11.659928,33.641921,0.016,0.0082,0.0408,0.004,0.251,0.0064,0,0.0062,0.4328,0,0,0,0.0078,0.0052,0,0.0049,0,0.0039,0,0.0284,0.0332,0.0048,0,0.0054,0.0078,0,0,0,0,0.0053,0,0.0203,0,0.0024
